C-O Distance,force_diff_CI,n_structs_in_CI,relative_free_energy_CI,
1.29,1.556889815,39,0.050910398,
1.3,1.305376818,47,0.036599065,
1.31,1.157448127,53,0.02428494,
1.32,0.88121935,60,0.014091603,
1.33,0.699371043,66,0.006188651,
1.34,0.322402559,71,0.001079783,
1.35,-0.106445986,68,0,
1.36,-0.587864076,66,0.00347155,
1.37,-1.033371507,68,0.011577728,
1.38,-1.298400695,68,0.023236589,
1.39,-1.658428878,65,0.038020737,
1.4,-1.965289864,65,0.056139331,
1.41,-2.164949304,67,0.076790527,
1.42,-2.414538388,66,0.099687965,
1.43,-2.623035994,65,0.124875837,
1.44,-2.759299421,65,0.151787514,
1.45,-2.902957696,67,0.1800988,
1.46,-2.999733949,65,0.209612258,
1.47,-3.134364163,64,0.240282748,
1.48,-3.212156798,68,0.272015353,
1.49,-3.280337527,66,0.304477825,
1.5,-3.325768557,68,0.337508355,
1.51,-3.354668761,69,0.370910542,
1.52,-3.418287048,69,0.404775321,
1.53,-3.379074767,71,0.43876213,
1.54,-3.434280502,72,0.472828906,
1.55,-3.433494508,74,0.507167781,
1.56,-3.427014506,73,0.541470326,
1.57,-3.413233719,77,0.575671568,
1.58,-3.392975863,76,0.609702616,
1.59,-3.361791089,78,0.64347645,
1.6,-3.35466609,80,0.677058736,
1.61,-3.326396764,81,0.71046405,
1.62,-3.261654458,84,0.743404307,
1.63,-3.227866146,84,0.77585191,
1.64,-3.168747115,86,0.807834976,
1.65,-3.088781818,88,0.839122621,
1.66,-3.042581932,94,0.869779439,
1.67,-2.940440916,95,0.899694554,
1.68,-2.852188122,97,0.928657699,
1.69,-2.7530257,102,0.956683768,
1.7,-2.619015268,105,0.983543973,
1.71,-2.507769457,110,1.009177896,
1.72,-2.343480271,114,1.033434145,
1.73,-2.220535367,120,1.056254223,
1.74,-2.073969537,124,1.077726748,
1.75,-1.925854809,129,1.097725869,
1.76,-1.796940903,134,1.116339848,
1.77,-1.669906382,141,1.133674084,
1.78,-1.563211173,147,1.149839672,
1.79,-1.430423128,155,1.164807844,
1.8,-1.318040317,163,1.178550161,
1.81,-1.246277349,170,1.191371749,
1.82,-1.18909988,180,1.203548635,
1.83,-1.108151873,192,1.215034894,
1.84,-1.040472347,208,1.225778015,
1.85,-0.944798037,240,1.235704367,
1.86,-0.827478696,271,1.244565751,
1.87,-0.724410144,304,1.252325195,
1.88,-0.621413848,338,1.259054315,
1.89,-0.533448526,378,1.264828627,
1.9,-0.465865127,411,1.269825195,
1.91,-0.44679086,436,1.274388475,
1.92,-0.382832251,453,1.278536591,
1.93,-0.309008126,506,1.281995792,
1.94,-0.245043387,515,1.28476605,
1.95,-0.16515448,527,1.286817039,
1.96,-0.072523252,567,1.288005428,
1.97,0.028520054,604,1.288225444,0.616126764
1.98,0.094179533,629,1.287611946,
1.99,0.174759117,625,1.286267253,
2,0.219228834,625,1.284297313,
2.01,0.272048092,644,1.281840928,
2.02,0.305182156,666,1.278954777,
2.03,0.362345789,635,1.275617137,
2.04,0.386454288,635,1.271873137,
2.05,0.403978887,615,1.267920971,
2.06,0.423108979,566,1.263785532,
2.07,0.429150571,518,1.259524234,
2.08,0.442512767,481,1.255165917,
2.09,0.447224335,457,1.250717232,
2.1,0.467795151,437,1.246142135,
2.11,0.47551146,404,1.241425601,
2.12,0.476660231,377,1.236664743,
2.13,0.464740863,357,1.231957738,
